date,exchange,hi,lo,avg
2005/4/8,1.3953,1003.699,979.529,991.614
2005/4/11,1.5062,1008.735,992.773,1000.754
2005/4/12,0.9665,993.711,978.204,985.9575
2005/4/13,1.519,1006.499,987.95,997.2245
2005/4/14,1.2224,1006.416,985.578,995.997
2005/4/15,0.9828,982.613,971.93,977.2715
2005/4/18,0.8119,970.907,958.649,964.778
2005/4/19,0.8673,968.867,957.91,963.3885
2005/4/20,0.8332,964.151,946.197,955.174
2005/4/21,0.9364,955.553,938.595,947.074
2005/4/22,1.0066,947.909,934.957,941.433
2005/4/25,1.0798,935.993,920.162,928.0775
2005/4/26,1.1006,939.696,924.655,932.1755
2005/4/27,1.0137,938.91,925.896,932.403
2005/4/28,1.3449,945.504,914.829,930.1665
2005/4/29,1.0524,942.453,929.81,936.1315
2005/5/9,0.7849,937.39,909.174,923.282
2005/5/10,0.9646,913.388,892.313,902.8505
2005/5/11,0.8304,917.223,900.438,908.8305
2005/5/12,0.9378,900.063,883.511,891.787
2005/5/13,1.0308,898.505,875.576,887.0405
2005/5/16,0.7539,885.389,869.334,877.3615
2005/5/17,0.8037,888.281,868.212,878.2465
2005/5/18,0.7191,890.403,871.821,881.112
2005/5/19,0.7429,888.016,871.289,879.6525
2005/5/20,0.6587,891.02,879.18,885.1
2005/5/23,0.6635,880.281,862.098,871.1895
2005/5/24,0.8392,871.767,855.587,863.677
2005/5/25,0.6591,876.305,861.659,868.982
2005/5/26,0.603,872.835,854.956,863.8955
2005/5/27,0.7056,864.963,848.398,856.6805
2005/5/30,0.6334,858.462,842.102,850.282
2005/5/31,0.6403,863.198,853.291,858.2445
2005/6/1,0.7176,857.657,836.04,846.8485
2005/6/2,0.8635,835.493,812.989,824.241
2005/6/3,0.7207,823.86,807.965,815.9125
2005/6/6,0.8181,839.15,807.784,823.467
2005/6/7,1.1866,858.092,835.179,846.6355
2005/6/8,2.9878,908.829,844.473,876.651
2005/6/9,3.0089,925.365,895.036,910.2005
2005/6/10,2.0329,911.941,889.103,900.522
2005/6/13,1.4188,900.18,877.69,888.935
2005/6/14,1.3001,905.415,882.862,894.1385
2005/6/15,1.038,881.248,865.136,873.192
2005/6/16,1.0013,879.493,861.827,870.66
2005/6/17,1.3557,888.078,876.038,882.058
2005/6/20,1.7154,906.482,872.563,889.5225
2005/6/21,1.1445,906.306,894.386,900.346
2005/6/22,0.9388,901.243,891.926,896.5845
2005/6/23,0.8506,904.896,892.831,898.8635
2005/6/24,0.7974,898.67,888.397,893.5335
2005/6/27,1.4792,920.647,904.209,912.428
2005/6/28,0.929,913.48,901.207,907.3435
2005/6/29,0.9651,907.571,898.084,902.8275
2005/6/30,0.9693,897.102,876.884,886.993
2005/7/1,0.901,875.935,858.37,867.1525
2005/7/4,0.7888,856.1,842.812,849.456
2005/7/5,0.7132,856.738,845.361,851.0495
2005/7/6,0.6149,854.448,838.609,846.5285
2005/7/7,0.531,848.022,839.282,843.652
2005/7/8,0.6429,842.62,827.229,834.9245
2005/7/11,0.7482,850.658,822.524,836.591
2005/7/12,1.329,854.286,818.863,836.5745
2005/7/13,0.8333,851.949,841.858,846.9035
2005/7/14,0.8301,856.095,843.176,849.6355
2005/7/15,0.7881,854.604,837.783,846.1935
2005/7/18,0.7535,840.005,829.679,834.842
2005/7/19,0.6996,840.143,829.277,834.71
2005/7/20,0.7544,844.712,832.144,838.428
2005/7/21,0.7391,843.987,835.757,839.872
2005/7/22,1.9098,867.165,842.987,855.076
2005/7/25,1.0432,860.951,854.284,857.6175
2005/7/26,1.9262,880.034,856.189,868.1115
2005/7/27,1.8001,894.026,876.036,885.031
2005/7/28,1.8171,900.997,888.5,894.7485
2005/7/29,1.2675,892.294,883.383,887.8385
2005/8/1,1.0314,897.285,885.85,891.5675
2005/8/2,1.248,903.648,888.396,896.022
2005/8/3,2.2516,919.282,903.76,911.521
2005/8/4,1.2965,909.827,901.625,905.726
2005/8/5,1.7045,923.808,903.94,913.874
2005/8/8,1.8851,933.154,923.573,928.3635
2005/8/9,1.7215,933.394,919.107,926.2505
2005/8/10,1.8753,940.37,926.275,933.3225
2005/8/11,2.3623,953.992,939.386,946.689
2005/8/12,2.5846,959.268,933.985,946.6265
2005/8/15,2.0367,954.502,936.113,945.3075
2005/8/16,2.0642,959.343,939.916,949.6295
2005/8/17,1.8979,953.342,930.325,941.8335
2005/8/18,3.1287,956.841,919.121,937.981
2005/8/19,1.9019,927.32,910.083,918.7015
